Marker;MedianMs;MeanMs;LowerQuartileMs;UpperQuartileMs;MaxMs;Count;CountPerFrame;PresentFrames;SelectedFrames
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TickPresentationDataBuilder.TryGetTileFeatureDefinition()";8.3085;7.957247;7.9817;8.5985;9.6758;7345;459.0625;15;16
"Game.Feature.UI.Application.dll!Game.Feature.UI.Application::HUDRootPresenter.HandleSnapshotChanged()";8.2299;8.16634;7.9582;9.0452;9.846;113;7.0625;15;16
"Game.Feature.UI.Application.dll!Game.Feature.UI.Application::HUDRootPresenter.ApplySnapshot()";8.2279;8.16428;7.9566;9.0432;9.8439;113;7.0625;15;16
"mscorlib.dll!System::String.Format()";8.1251;8.934307;7.837;8.7864;16.3384;5889;368.0625;15;16
"mscorlib.dll!System::Comparison`1.invoke_int_T_T()";7.9695;7.66218;7.6964;8.1411;9.3781;388709;24294.3125;15;16
"mscorlib.dll!System::String.FormatHelper()";7.8805;8.68066;7.6082;8.5231;16.0347;5889;368.0625;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TickPipeline.CommitEnemyAiTransitions()";7.824;9.152613;7.4634;8.5353;19.2335;339;21.1875;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Entities::EnemyCoreLogicAdapter.Game.Feature.Gameplay.Entities.IEnemyAiStateLogic.CommitAiTransitions()";7.6604;8.98774;7.3158;8.3617;18.9935;3390;211.875;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Entities::EnemyCoreLogicAdapter.CommitAiTransitions()";7.6349;8.959833;7.2918;8.3341;18.9318;3390;211.875;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Entities::EnemyLogic.Game.Feature.Gameplay.Entities.IEnemyAiStateLogic.CommitAiTransitions()";7.5439;8.837833;7.2104;8.2429;18.4015;3390;211.875;15;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::TileFeatureVisualPoseSynchronizer.RefreshAll()";7.4397;7.247787;7.1031;7.6154;9.0828;226;14.125;15;16
"Game.Feature.UI.Application.dll!Game.Feature.UI.Application::ObjectiveHudPresenter.Apply()";7.3637;7.22498;7.1316;7.6958;8.8212;113;7.0625;15;16
"System.Core.dll!System.Collections.Generic::HashSet`1.Add()";7.3239;7.39322;6.8943;7.5675;8.7066;89866;5616.625;15;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::GameplayAnimationSyncCoordinator.CacheDrivers()";7.2578;6.883067;6.7551;7.496;8.1028;8475;529.6875;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TickPresentationDataBuilder.BuildTilePresentationEvents()";7.2212;7.08774;6.9151;7.6332;9.0466;113;7.0625;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TickPipeline.RunEnemyAiPhase()";7.0819;8.490873;6.8587;7.6048;18.9512;113;7.0625;15;16
"PreLateUpdate.ScriptRunBehaviourLateUpdate";7.0636;7.291827;6.5006;7.4634;9.1178;15;0.9375;15;16
"LateBehaviourUpdate";7.0625;7.290893;6.4997;7.4625;9.1169;15;0.9375;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.Loop::TickPresentationData..ctor()";7.0299;7.444253;6.1712;7.4684;13.9842;340;21.25;15;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::GameplayTickViewPresenter.LateUpdate()";7.0045;7.217707;6.4515;7.4113;9.0473;15;0.9375;15;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::GameplayTickViewPresenter.UpdatePresentation()";7.0026;7.215933;6.4497;7.4098;9.0456;15;0.9375;15;16
"Game.Feature.Gameplay.Host.dll!Game.Feature.Gameplay.Host::SaveSlotCampaignChancesReadSource.TryReadChances()";6.9594;6.912633;6.7401;7.6669;8.3767;113;7.0625;15;16
"mscorlib.dll!System.Collections.Generic::Dictionary`2.Initialize()";6.9451;7.243933;6.4387;7.0912;15.6794;15681;980.0625;15;16
"Game.Feature.Gameplay.dll!Game.Feature.Gameplay.BoardState::WorldSnapshot.CreateWithSnapshotOwnedCellIndexes()";6.7686;6.6432;6.3988;7.0622;8.8469;906;56.625;15;16
"mscorlib.dll!System.Collections.ObjectModel::ReadOnlyDictionary`2.TryGetValue()";6.7374;6.708893;6.4923;6.9848;8.1226;96958;6059.875;15;16
"UnityEngine.CoreModule.dll!UnityEngine::Object.CompareBaseObjects()";6.7259;6.545631;6.3741;6.9639;8.7316;316500;19781.25;16;16
